Date,Open,High,Low,Close,Adj Close,Volume,
2020-07-23,0.9986,1,0.9934,0.9968,0.9968,"150,262,468",
2020-07-24,0.9968,1,0.996,0.9977,0.9977,"139,039,840",
2020-07-25,0.9982,1,0.9948,0.9969,0.9969,"139,749,013",
2020-07-26,0.9968,1,0.9899,0.9971,0.9971,"214,108,864",
2020-07-27,0.997,1.02,0.9886,0.999,0.999,"419,070,540",
2020-07-28,0.9959,1.01,0.9946,0.9985,0.9985,"294,582,739",
2020-07-29,0.9985,1.01,0.9947,0.9998,0.9998,"202,792,976",
2020-07-30,0.9998,1.01,0.9972,1,1,"229,718,536",
2020-07-31,1,1,0.997,0.9987,0.9987,"219,408,395",
2020-08-01,0.9983,1,0.9905,0.9951,0.9951,"313,964,253",
2020-08-02,0.9954,1.05,0.9911,0.9985,0.9985,"365,258,662",
2020-08-03,0.9982,1.01,0.9934,1,1,"208,149,187",
2020-08-04,1,1.01,0.9977,1,1,"229,722,057",
2020-08-05,1,1.01,0.9996,1,1,"253,954,992",
2020-08-06,1,1,0.9996,1,1,"225,337,053",
2020-08-07,1,1.01,0.9977,1,1,"232,263,398",
2020-08-08,1,1,0.9966,0.9981,0.9981,"159,077,038",
2020-08-09,0.9983,1.01,0.9963,1,1,"181,087,678",
2020-08-10,1,1.02,0.9985,0.9994,0.9994,"238,444,027",
2020-08-11,0.9992,1.01,0.9962,1,1,"289,207,890",
2020-08-12,1,1.01,0.9953,1.01,1.01,"248,734,352",
2020-08-13,1.01,1.01,0.9984,1.01,1.01,"308,265,167",
2020-08-14,1.01,1.01,0.997,0.9995,0.9995,"261,111,752",
2020-08-15,0.999,1.01,0.9969,1,1,"250,365,386",
2020-08-16,1,1.01,0.998,0.9996,0.9996,"213,868,644",
2020-08-17,0.9996,1.01,0.9946,0.9977,0.9977,"308,689,125",
2020-08-18,0.9979,1.01,0.995,1,1,"276,233,620",
2020-08-19,1,1.01,0.9991,1,1,"280,159,895",
2020-08-20,1,1,0.9983,1,1,"177,079,655",
2020-08-21,1,1.01,0.9979,1,1,"285,423,918",
2020-08-22,1,1.01,0.9982,1,1,"199,865,104",
2020-08-23,1,1,0.9975,1,1,"136,329,435",
2020-08-24,1,1,0.997,1,1,"162,351,927",
2020-08-25,1,1.01,0.9987,1,1,"238,853,949",
2020-08-26,1,1,0.9971,1,1,"178,412,962",
2020-08-27,1,1.01,0.9965,1,1,"236,706,027",
2020-08-28,1,1,0.9985,1,1,"181,461,601",
2020-08-29,1,1,0.9994,1,1,"153,981,824",
2020-08-30,1,1,0.998,1,1,"178,162,804",
2020-08-31,1,1,0.9981,1,1,"231,030,123",
2020-09-01,1,1.01,0.9969,1,1,"410,932,543",
2020-09-02,1,1.02,0.9971,1,1,"488,335,032",
2020-09-03,1,1.03,0.9928,1,1,"540,316,534",
2020-09-04,1.01,1.02,0.9946,1,1,"437,584,445",
2020-09-05,1,1.01,0.9906,1,1,"470,047,541",
2020-09-06,1,1.01,0.9949,1,1,"350,992,087",
2020-09-07,1,1.01,0.9933,1,1,"318,892,354",
2020-09-08,1,1.01,0.9893,1,1,"334,296,490",
2020-09-09,1,1.01,0.9979,1,1,"239,065,275",
2020-09-10,1,1.01,0.9936,1,1,"293,958,396",
2020-09-11,1,1.01,0.9916,1,1,"218,152,908",
2020-09-12,1,1.01,0.9972,1,1,"166,272,542",
2020-09-13,1,1.01,0.9952,0.999,0.999,"218,792,964",
2020-09-14,0.9985,1.01,0.9927,1,1,"379,689,973",
2020-09-15,1,1.01,0.9986,1,1,"288,637,969",
2020-09-16,1,1.01,0.999,1,1,"278,592,893",
2020-09-17,1,1.01,0.9983,1,1,"253,268,938",
2020-09-18,1,1.01,0.9973,1,1,"234,236,365",
2020-09-19,1,1.01,0.9977,1,1,"150,179,882",
2020-09-20,1,1.01,0.9988,1,1,"161,627,159",
2020-09-21,1,1.01,0.9984,1,1,"259,389,467",
2020-09-22,1,1.01,0.9984,1,1,"186,351,598",
2020-09-23,1,1,1,1,1,"411,301,100",
2020-09-24,1,1,1,1,1,"494,363,509",
2020-09-25,1,1,0.9999,1,1,"528,538,946",
2020-09-26,1,1,1,1,1,"300,332,966",
2020-09-27,1,1,0.9999,1,1,"301,293,752",
2020-09-28,1,1,1,1,1,"417,194,009",
2020-09-29,1,1,0.9999,1,1,"416,178,921",
2020-09-30,1,1,0.9998,1,1,"381,893,245",
2020-10-01,1,1,0.9996,1,1,"507,208,385",
2020-10-02,1,1,0.9999,1,1,"512,814,958",
2020-10-03,1,1,1,1,1,"219,100,082",
2020-10-04,1,1,1,1,1,"251,474,203",
2020-10-05,1,1,0.9998,1,1,"270,194,213",
2020-10-06,1,1,0.9999,1,1,"498,402,673",
2020-10-07,1,1,1,1,1,"334,103,501",
2020-10-08,1,1,1,1,1,"421,744,454",
2020-10-09,1,1,1,1,1,"407,843,019",
2020-10-10,1,1,0.9999,1,1,"412,341,821",
2020-10-11,1,1,1,1,1,"317,132,109",
2020-10-12,1,1,0.9999,1,1,"526,042,464",
2020-10-13,1,1,0.9996,1,1,"457,041,552",
2020-10-14,1,1,0.9997,1,1,"388,463,687",
2020-10-15,1,1,1,1,1,"432,787,991",
2020-10-16,1,1,1,1,1,"474,669,640",
2020-10-17,1,1,1,1,1,"205,016,094",
2020-10-18,1,1,1,1,1,"189,091,649",
2020-10-19,1,1,1,1,1,"381,333,057",
2020-10-20,1,1,1,1,1,"469,648,699",
2020-10-21,1,1,0.9996,1,1,"818,825,360",
2020-10-22,1,1,0.9998,0.9998,0.9998,"801,649,725",
2020-10-23,0.9998,1,0.9997,1,1,"519,458,876",
2020-10-24,1,1,0.9997,1,1,"297,731,848",
2020-10-25,1,1,0.9999,1,1,"337,611,364",
2020-10-26,1,1,0.9999,1,1,"490,180,714",
2020-10-27,1,1,1,1,1,"552,987,314",
2020-10-28,1,1,1,1,1,"627,736,393",
2020-10-29,1,1,0.9999,0.9999,0.9999,"526,193,503",
2020-10-30,0.9999,1,0.9998,0.9999,0.9999,"624,619,074",
2020-10-31,0.9999,0.9999,0.9998,0.9999,0.9999,"481,499,420",
2020-11-01,0.9999,0.9999,0.9996,0.9999,0.9999,"331,733,822",
2020-11-02,0.9999,0.9999,0.9997,0.9999,0.9999,"612,094,910",
2020-11-03,0.9999,1,0.9998,1,1,"668,530,533",
2020-11-04,1,1,0.9998,1,1,"925,815,474",
2020-11-05,1,1,0.9999,1,1,"648,177,096",
2020-11-06,1,1,0.9996,0.9999,0.9999,"713,627,294",
2020-11-07,0.9999,1,0.9996,0.9999,0.9999,"719,139,368",
2020-11-08,0.9999,0.9999,0.9998,0.9998,0.9998,"424,144,463",
2020-11-09,0.9998,1,0.9997,0.9999,0.9999,"604,717,831",
2020-11-10,0.9999,1,0.9998,0.9999,0.9999,"439,211,621",
2020-11-11,0.9999,1,0.9998,1,1,"507,408,372",
2020-11-12,1,1,1,1,1,"578,697,298",
2020-11-13,1,1,0.9995,0.9999,0.9999,"494,670,224",
2020-11-14,0.9999,1,0.9997,0.9997,0.9997,"378,178,771",
2020-11-15,0.9997,1,0.9996,1,1,"334,843,463",
2020-11-16,1,1,0.9998,0.9999,0.9999,"526,874,208",
2020-11-17,1,1,0.9994,1,1,"744,889,249",
2020-11-18,1,1,0.9996,0.9998,0.9998,"1,007,185,274",
2020-11-19,0.9998,1,0.9995,0.9998,0.9998,"563,403,493",
2020-11-20,0.9998,1,0.9995,0.9997,0.9997,"796,605,453",
2020-11-21,0.9997,1,0.9993,0.9996,0.9996,"922,500,820",
